시설명,위도,경도,시설용도분류,도로명주소,기타,설명,종류
무궁화공원,37.541267,127.09439,FU_BI,서울특별시 광진구 광나루로52길 12,,산책과 휴식을 위한 공간,자연/휴식
개나리공원,37.538036,127.09237,FU_BI,서울특별시 광진구 아차산로60길 13-8,,산책과 휴식을 위한 공간,자연/휴식
목련공원,37.5406,127.09051,FU_BI,서울특별시 광진구 아차산로59길 49,,산책과 휴식을 위한 공간,자연/휴식
푸른동산어린이공원,37.542873,127.09108,FU_BI,서울특별시 광진구 광나루로44길 32,,산책과 휴식을 위한 공간,자연/휴식
명성공원,37.541447,127.08672,FU_BI,서울특별시 광진구 자양로26길 45-7,,산책과 휴식을 위한 공간,자연/휴식
장미공원,37.53639,127.09021,FU_BI,서울특별시 광진구 구의강변로3길 39,,산책과 휴식을 위한 공간,자연/휴식
군자어린이공원,37.55438,127.07287,FU_BI,서울특별시 광진구 동일로52길 27,,산책과 휴식을 위한 공간,자연/휴식
남일공원,37.555984,127.07371,FU_BI,서울특별시 광진구 동일로56길 29,,산책과 휴식을 위한 공간,자연/휴식
노유산공원,37.539104,127.0684,FU_BI,서울특별시 광진구 아차산로32길 17,,산책과 휴식을 위한 공간,자연/휴식
동자공원,37.53201,127.07439,FU_BI,서울특별시 광진구 자양번영로3길 20-4,,산책과 휴식을 위한 공간,자연/휴식
정말공원,37.533237,127.07834,FU_BI,서울특별시 광진구 자양로13다길 34,,산책과 휴식을 위한 공간,자연/휴식
약초원공원,37.532936,127.06639,FU_BI,서울특별시 광진구 뚝섬로32길 62,,산책과 휴식을 위한 공간,자연/휴식
장독골공원,37.535778,127.07769,FU_BI,서울특별시 광진구 아차산로40길 50-4,,산책과 휴식을 위한 공간,자연/휴식
화인빌딩,37.484943,126.98153,FU_BA,서울특별시 동작구 사당로 308,,역할 정보가 없습니다.,기타
효성해링턴스퀘어,37.54301,126.95119,FU_BA,서울특별시 마포구 마포대로 92,,역할 정보가 없습니다.,기타
대화빌딩,37.555862,126.92285,FU_BA,서울특별시 마포구 양화로 152,,역할 정보가 없습니다.,기타
현대상가,37.570164,126.90385,FU_BA,서울특별시 마포구 월드컵북로 230,,다양한 상업 활동이 이루어지는 곳,기타
중곡어린이공원,37.56466,127.07924,FU_BI,서울특별시 광진구 긴고랑로5길 10,,산책과 휴식을 위한 공간,자연/휴식
솔길공원,37.489292,126.880615,FU_BI,서울특별시 구로구 벚꽃로 392,,산책과 휴식을 위한 공간,자연/휴식
배나무터어린이공원,37.568466,127.08025,FU_BI,서울특별시 광진구 동일로76나길 20,,산책과 휴식을 위한 공간,자연/휴식
한아름공원,37.544403,127.07055,FU_BI,서울특별시 광진구 군자로3길 15,,산책과 휴식을 위한 공간,자연/휴식
햇님공원,37.542717,127.06688,FU_BI,서울특별시 광진구 아차산로25길 27,,산책과 휴식을 위한 공간,자연/휴식
화양공원,37.54155,127.06968,FU_BI,서울특별시 광진구 아차산로31길 14,,산책과 휴식을 위한 공간,자연/휴식
소막골공원,37.488525,126.85232,FU_BI,서울특별시 구로구 개봉로11길 66-16,,산책과 휴식을 위한 공간,자연/휴식
절골공원,37.482864,126.851654,FU_BI,서울특별시 구로구 개봉로3가길 88-9,,산책과 휴식을 위한 공간,자연/휴식
개웅공원,37.49009,126.85301,FU_BI,서울특별시 구로구 개봉로15길 58-2,,산책과 휴식을 위한 공간,자연/휴식
도레미공원,37.508053,126.85233,FU_BI,서울특별시 구로구 중앙로15길 151,,산책과 휴식을 위한 공간,자연/휴식
구로리공원,37.490883,126.89161,FU_BI,서울특별시 구로구 구로중앙로 13,,산책과 휴식을 위한 공간,자연/휴식
삼각공원,37.501366,126.892044,FU_BI,서울특별시 구로구 새말로18길 130,,산책과 휴식을 위한 공간,자연/휴식
화원공원,37.49776,126.88026,FU_BI,서울특별시 구로구 벚꽃로 490,,산책과 휴식을 위한 공간,자연/휴식
애경공원,37.50027,126.884575,FU_BI,서울특별시 구로구 구로중앙로32가길 19,,산책과 휴식을 위한 공간,자연/휴식
희망어린이공원,37.486977,126.88621,FU_BI,서울특별시 구로구 구로동로8길 27,,산책과 휴식을 위한 공간,자연/휴식
꿈마을공원,37.48731,126.89003,FU_BI,서울특별시 구로구 디지털로27라길 67,,산책과 휴식을 위한 공간,자연/휴식
환경공원,37.48502,126.88842,FU_BI,서울특별시 구로구 도림로6길 30,,산책과 휴식을 위한 공간,자연/휴식
수른공원,37.497932,126.82961,FU_BI,서울특별시 구로구 오리로 1302-5,,산책과 휴식을 위한 공간,자연/휴식
오동나무공원,37.4856,126.83826,FU_BI,서울특별시 구로구 천왕로 92,,산책과 휴식을 위한 공간,자연/휴식
아름어린이공원,37.50335,127.10708,FU_BI,서울특별시 송파구 백제고분로40길 19-6,공사중,산책과 휴식을 위한 공간,자연/휴식
버들공원,37.48159,126.83998,FU_BI,서울특별시 구로구 천왕로 56,,산책과 휴식을 위한 공간,자연/휴식
무아래공원,37.473366,126.893265,FU_BI,서울특별시 금천구 가산로5길 29,,산책과 휴식을 위한 공간,자연/휴식
골말공원,37.482853,126.88453,FU_BI,서울특별시 금천구 벚꽃로38길 35,,산책과 휴식을 위한 공간,자연/휴식
두산어린이공원,37.473087,126.894165,FU_BI,서울특별시 금천구 시흥대로123길 91,,산책과 휴식을 위한 공간,자연/휴식
