시설명,위도,경도,시설용도분류,도로명주소,기타,설명,종류
은곡마을공원,37.46804,127.100464,FU_BI,서울특별시 강남구 헌릉로571길 34-11,,산책과 휴식을 위한 공간,자연/휴식
세곡천어린이공원,37.4632,127.10127,FU_BI,서울특별시 강남구 헌릉로590길 88,,산책과 휴식을 위한 공간,자연/휴식
대치까치공원,37.496983,127.0592,FU_BI,서울특별시 강남구 도곡로78길 22,,산책과 휴식을 위한 공간,자연/휴식
대왕어린이공원,37.462276,127.1046,FU_BI,서울특별시 강남구 헌릉로590길 33,,산책과 휴식을 위한 공간,자연/휴식
행복어린이공원,37.467266,127.09716,FU_BI,서울특별시 강남구 헌릉로571길 70-1,,산책과 휴식을 위한 공간,자연/휴식
도담어린이공원,37.46728,127.09869,FU_BI,서울특별시 강남구 헌릉로571길 56-1,,산책과 휴식을 위한 공간,자연/휴식
윗반고개공원,37.4657,127.10915,FU_BI,서울특별시 강남구 밤고개로31길 9,,산책과 휴식을 위한 공간,자연/휴식
궁마을공원,37.48485,127.09942,FU_BI,서울특별시 강남구 광평로42길 20,,산책과 휴식을 위한 공간,자연/휴식
수서은행나무어린이공원,37.49126,127.099754,FU_BI,서울특별시 강남구 광평로51길 49,,산책과 휴식을 위한 공간,자연/휴식
수서목련어린이공원,37.49058,127.10372,FU_BI,서울특별시 강남구 광평로51길 22,,산책과 휴식을 위한 공간,자연/휴식
수서개나리어린이공원,37.48754,127.10542,FU_BI,서울특별시 강남구 광평로56길 11,,산책과 휴식을 위한 공간,자연/휴식
수서까치공원,37.487164,127.09795,FU_BI,서울특별시 강남구 광평로47길 17,,산책과 휴식을 위한 공간,자연/휴식
일원새싹공원,37.484795,127.08909,FU_BI,서울특별시 강남구 광평로19길 10,,산책과 휴식을 위한 공간,자연/휴식
신사은행나무공원,37.520596,127.02604,FU_BI,서울특별시 강남구 논현로153길 27,,산책과 휴식을 위한 공간,자연/휴식
신사목련공원,37.522915,127.02583,FU_BI,서울특별시 강남구 논현로161길 31,,산책과 휴식을 위한 공간,자연/휴식
